"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"P7,P4,P6,P5";"IDC_Header_Straight_16pins";4;"STDCONN";;;
2;"P12,P10,P11,P13";"Pin_Header_Straight_2x03";4;"CONN_02X03";;;
3;"P3";"IDC_Header_Straight_10pins";1;"CONN_02X05";;;
4;"C1,C3,C4,C6,C8,C9,C10,C11,C13,C16,C17,C40,C41,C47,C48,C50,C51,C52,C53,C55";"C_1206_HandSoldering";20;"100n";;;
5;"C12,C15,C54";"C_1206_HandSoldering";3;"10u";;;
6;"C18";"C_1206_HandSoldering";1;"3n3";;;
7;"C19";"C_1206_HandSoldering";1;"56n";;;
8;"C20,C21,C22,C23";"C_1206_HandSoldering";4;"100p";;;
9;"C24,C25,C26,C27";"C_1206_HandSoldering";4;"330p";;;
10;"C28,C29,C30,C31";"C_1206_HandSoldering";4;"5.6n";;;
11;"C32,C33,C34,C35,C36,C37,C45,C2,C5,C7,C14";"C_Radial_D5_L11_P2";11;"10u";;;
12;"C38,C39";"C_Radial_D5_L11_P2";2;"47u";;;
13;"C46";"C_1206_HandSoldering";1;"10n";;;
14;"C49";"C_Radial_D5_L11_P2";1;"2.2u";;;
15;"Cboot1";"C_1206_HandSoldering";1;"220n";;;
16;"Cin1";"C_1206_HandSoldering";1;"2u2";;;
17;"Cout1";"C_1206_HandSoldering";1;"47u";;;
18;"C_res1,C_res3";"C_Radial_D5_L11_P2";2;"x";;;
19;"C_res2";"C_1206_HandSoldering";1;"x";;;
20;"D1,D2,D3,D5";"SMA";4;"B150";;;
21;"D4";"SMB";1;"P6SMB 27V";;;
22;"D6,D7,D8,D9,D10";"SOD-123W";5;"1N4148";;;
23;"FB1,FB2";"C_0805_HandSoldering";2;"330";;;
24;"J1,J2,J4,J5,J6,J7";"RCA_RCJ-01x";6;"RCA_01";;;
25;"J3";"RIACON101-2";1;"CONN_01X02";;;
26;"L1";"Choke_SMD_6.0x5.8";1;"47u";;;
27;"LM1";"SOT23-6_1.7x3.0mm_Pitch0.95mm";1;"LM284x";;;
28;"P1";"Pin_Header_Straight_1x06";1;"CONN_01X06";;;
29;"P2";"Pin_Header_Straight_1x03";1;"CONN_01X03";;;
30;"P8,P9";"Pin_Header_Straight_2x03";2;"CONN_02X03";;;
31;"R1,R2,R3,R4,R5,R7";"R_1206_HandSoldering";6;"10K";;;
32;"R6";"R_1206_HandSoldering";1;"1K";;;
33;"R8";"R_1206_HandSoldering";1;"18K";;;
34;"R9,R10,R38,R39";"R_1206_HandSoldering";4;"10k";;;
35;"R11";"R_1206_HandSoldering";1;"475";;;
36;"R12,R13,R14,R15";"R_1206_HandSoldering";4;"2k";;;
37;"R16,R17,R18,R19";"R_1206_HandSoldering";4;"16k";;;
38;"R20,R21,R22,R23,R48";"R_1206_HandSoldering";5;"330";;;
39;"R24,R25,R26,R27,R28,R29";"R_1206_HandSoldering";6;"49k9";;;
40;"R30,R33";"R_1206_HandSoldering";2;"7k";;;
41;"R31,R34";"R_1206_HandSoldering";2;"8k";;;
42;"R32,R35";"R_1206_HandSoldering";2;"18k";;;
43;"R36,R41,R42";"R_1206_HandSoldering";3;"1k";;;
44;"R37";"R_1206_HandSoldering";1;"390k";;;
45;"R40";"R_1206_HandSoldering";1;"1M";;;
46;"R43";"R_1206_HandSoldering";1;"470k";;;
47;"R44,R45,R46,R47";"R_1206_HandSoldering";4;"24";;;
48;"Rfb1";"R_1206_HandSoldering";1;"3.32k";;;
49;"Rfb2";"R_1206_HandSoldering";1;"1.02k";;;
50;"U1";"LQFP-48_7x7mm_Pitch0.5mm";1;"ADAU1701";;;
51;"U2";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"24AA256SN";;;
52;"U3,U4";"SOIC-8_3.9x4.9mm_Pitch1.27mm";2;"LME49721";;;
53;"U5";"DCT";1;"SN74LVC3G14";;;
54;"U6";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"LM393";;;
55;"U7";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"IDT2305NZ";;;
56;"X1";"Oscillator_SMD_Abracon_ASV-4pin_7.0x5.1mm_HandSoldering";1;"ASV-24.576MHz-EJ-T";;;
57;"Q1,Q2,Q3,Q4,Q18";"SOT-23_Handsoldering";5;"BSS123";;;
58;"Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13";"SOT-23_Handsoldering";8;"BSH103,215";;;
59;"Q14,Q15,Q16,Q17";"SOT-23_Handsoldering";4;"MMBF5434";;;
60;"SW1";"SW_PUSH_6mm";1;"SW_PUSH";;;
61;"D11";"R_1206_HandSoldering";1;"LED";;;
62;"Q5";"SOT-223";1;"FZT751TA";;;
